hour,percentage,consumption,heat recovery,body heat W,total recovery
1,0.01,49.06336,31.891184,240,271.891184
2,0.01,49.06336,31.891184,240,271.891184
3,0.01,49.06336,31.891184,240,271.891184
4,0.01,49.06336,31.891184,240,271.891184
5,0.01,49.06336,31.891184,240,271.891184
6,0.08,392.50688,255.129472,240,495.129472
7,0.12,588.76032,382.694208,240,622.694208
8,0.05,245.3168,159.45592,240,399.45592
9,0.02,98.12672,63.782368,50,113.782368
10,0.02,98.12672,63.782368,50,113.782368
11,0.02,98.12672,63.782368,50,113.782368
12,0.02,98.12672,63.782368,50,113.782368
13,0.12,588.76032,382.694208,50,432.694208
14,0.02,98.12672,63.782368,50,113.782368
15,0.02,98.12672,63.782368,50,113.782368
16,0.02,98.12672,63.782368,50,113.782368
17,0.02,98.12672,63.782368,50,113.782368
18,0.03,147.19008,95.673552,50,145.673552
19,0.15,735.9504,478.36776,50,528.36776
20,0.03,147.19008,95.673552,240,335.673552
21,0.03,147.19008,95.673552,240,335.673552
22,0.15,735.9504,478.36776,240,718.36776
23,0.02,98.12672,63.782368,240,303.782368
24,0.01,49.06336,31.891184,240,271.891184
