hour,computer,Wh,tv,Wh,dishwasher,Wh,washer/dryer,Wh,cooker,Wh,microwave,Wh,fridge,Wh,Kettle,Wh,ventilation,Wh,Misc,Wh,Inverter,Wh,total base,cooking
1,0.01,3,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0,0,25,0
2,0.01,3,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0,0,25,0
3,0.02,6,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0,0,28,0
4,0.02,6,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0,0,28,0
5,0.02,6,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.02,11,0.01,5,33,0
6,0.02,6,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.02,11,0.01,5,33,0
7,0.02,6,0,0,0,0,0,0,0,0,0,0,0.2,276,0,0,0.04166666667,2,0.02,11,0.01,5,296,0
8,0.02,6,0,0,0,0,0,0,0.3,306,0,0,0.01,14,0,0,0.04166666667,2,0.02,11,0.01,5,33,306
9,0.1,31,0,0,0,0,0,0,0,0,0,0,0.01,14,0.4,220,0.04166666667,2,0.04,22,0.05,23,69,220
10,0.1,31,0,0,0,0,0,0,0,0,0.4,236,0.01,14,0,0,0.04166666667,2,0.01,6,0.2,93,52,236
11,0.1,31,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0.05,23,52,0
12,0.02,6,0,0,0,0,0,0,0.2,204,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0.01,5,28,204
13,0.1,31,0,0,0,0,0,0,0,0,0,0,0.2,276,0,0,0.04166666667,2,0.01,6,0.01,5,315,0
14,0.1,31,0,0,0,0,0,0,0,0,0,0,0.01,14,0.2,110,0.04166666667,2,0.01,6,0.01,5,52,110
15,0.1,31,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0.01,5,52,0
16,0.1,31,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0.1,47,52,0
17,0.02,6,0,0,0,0,0,0,0,0,0,0,0.2,276,0.4,220,0.04166666667,2,0.01,6,0.1,47,290,220
18,0.02,6,0,0,0,0,0,0,0,0,0.4,236,0.01,14,0,0,0.04166666667,2,0.01,6,0.1,47,28,236
19,0.02,6,0,0,0,0,0,0,0.3,306,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0.1,47,28,306
20,0.02,6,0.3,60,0,0,0,0,0.2,204,0,0,0.01,14,0,0,0.04166666667,2,0.15,83,0.1,47,165,204
21,0.02,6,0.3,60,1,343,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.03,17,0.1,47,442,0
22,0.02,6,0.3,60,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.03,17,0.02,9,99,0
23,0.01,3,0.1,20,0,0,0,0,0,0,0.2,118,0.2,276,0,0,0.04166666667,2,0.01,6,0.02,9,307,118
24,0.01,3,0,0,0,0,0,0,0,0,0,0,0.01,14,0,0,0.04166666667,2,0.01,6,0.02,9,25,0
