Thermal conductivity based on target performance of structurally insulated vaccuum panels under development,,,,,,,,,
"thicknesses are variable, thinner walls preferable to provide more interior space and lighter package weight",,,,,,,,,
Bridging estimates based on CAD but exist more as targets,,,,,,,,,
R and U values calculated with weighted average of material performance in each assembly,,,,,,,,,
Configurations based on different states of fold out (w/ greenhouse signifying significant passive solar glass),,,,,,,,,
Load calculations based on steady 23C interior tempt,,,,,,,,,
,,,,,,,,,
Component,Ceiling,Main body floor,Stationary wall,Fold out floor,Fold out wall ,Fold out ceiling,Double folded wall,glass,aluminium bridging
Thermal conductivity W/mK,0.015,0.015,0.015,0.015,0.015,0.015,0.015,,180
Thickness (mm),180,200,150,100,100,120,220,,
Bridging %,0.04,0.06,0.06,0.07,0.06,0.03,0.06,,
Effective R value,11.52004,12.5334,9.40005,6.200038889,6.2667,7.76002,13.78674,,
Effective U Value,0.08680525415,0.07978680964,0.1063824129,0.1612893109,0.1595736193,0.1288656473,0.07253346331,0.8,
,,,,,,,,,
,,,,,,,,,
Config,,,,,,,,,
area (m^2),Folded,single fold out,Single fold out w/ greenhouse,Double fold out,Double fold out with greenhouse,,,,
Ceiling,21,21,21,21,21,,,,
main body floor,19.66,19.66,19.66,19.66,19.66,,,,
stationary wall,18,26,26,32,32,,,,
fold out floor,0,15,15,30,30,,,,
fold out wall,0,27,17,54,36,,,,
fold out ceiling,0,14,14,28,28,,,,
glass,0,4,14,8,18,,,,
Double folded wall,48,24,24,0,0,,,,
Transfer per degree C (W),8.788008685,19.63021131,26.03447512,30.25964912,35.38732397,,,,
Thermal load at 0c outside temp (W),202.1241998,451.4948602,598.7929278,695.9719297,813.9084513,,,,
Daily energy requirement at 0C external (kWh),4.850980794,10.83587665,14.37103027,16.70332631,19.53380283,,,,
Daily energy requirement at 8C external (kWh),3.163683127,7.066876073,9.372411044,10.89347368,12.73943663,,,,
,,90.66,,,,,,,
,,1178.58,,,,,,,
